"State","rateMajorDepression"
"Utah","0.0600"
"Rhode Island","0.0600"
"Minnesota","0.0600"
"Maine","0.0600"
"West Virginia","0.0500"
"Washington","0.0500"
"Vermont","0.0500"
"Tennessee","0.0500"
"Oregon","0.0500"
"Oklahoma","0.0500"
"North Dakota","0.0500"
"North Carolina","0.0500"
"New Hampshire","0.0500"
"Montana","0.0500"
"Missouri","0.0500"
"Michigan","0.0500"
"Massachusetts","0.0500"
"Louisiana","0.0500"
"Kentucky","0.0500"
"Kansas","0.0500"
"Iowa","0.0500"
"Idaho","0.0500"
"Delaware","0.0500"
"Connecticut","0.0500"
"Arkansas","0.0500"
"Alabama","0.0500"
"Wisconsin","0.0400"
"Virginia","0.0400"
"Texas","0.0400"
"South Dakota","0.0400"
"South Carolina","0.0400"
"Pennsylvania","0.0400"
"Ohio","0.0400"
"New York","0.0400"
"New Mexico","0.0400"
"New Jersey","0.0400"
"Nebraska","0.0400"
"Mississippi","0.0400"
"Maryland","0.0400"
"Indiana","0.0400"
"Illinois","0.0400"
"Georgia","0.0400"
"Florida","0.0400"
"California","0.0400"
"Wyoming","0.0300"
"Nevada","0.0300"
"Colorado","0.0300"
"Arizona","0.0300"
"Alaska","0.0300"
"Hawaii",""